Method,Bucket,Operation,Time_Sec,Memory_MB,CPU_Usage_Percent,Accuracy
kNN,bucket_1.arff,Load,0.11575007438659668,3.1796875,,
kNN,bucket_10.arff,Load,0.1140599250793457,1.48046875,,
kNN,bucket_2.arff,Load,0.11229705810546875,0.09765625,,
kNN,bucket_3.arff,Load,0.11507511138916016,0.02734375,,
kNN,bucket_4.arff,Load,0.11295390129089355,0.0078125,,
kNN,bucket_5.arff,Load,0.11006712913513184,0.046875,,
kNN,bucket_6.arff,Load,0.109954833984375,0.01953125,,
kNN,bucket_7.arff,Load,0.11555671691894531,0.06640625,,
kNN,bucket_8.arff,Load,0.11301398277282715,0.01171875,,
kNN,bucket_9.arff,Load,0.11677408218383789,0.05859375,,
kNN,bucket_1.arff,Scaling,0.0028197765350341797,0.3359375,,
kNN,bucket_1.arff,Training,0.003171205520629883,0.69921875,,
kNN,bucket_1.arff,Prediction,0.10610032081604004,0.65234375,,
kNN,bucket_1.arff,Accuracy,0,0,,1.0
kNN,bucket_10.arff,Scaling,0.003119945526123047,0.3046875,,
kNN,bucket_10.arff,Training,0.001096963882446289,0.375,,
kNN,bucket_10.arff,Prediction,0.09927773475646973,0.359375,,
kNN,bucket_10.arff,Accuracy,0,0,,1.0
kNN,bucket_2.arff,Scaling,0.0027818679809570312,0.05078125,,
kNN,bucket_2.arff,Training,0.0010650157928466797,0.1953125,,
kNN,bucket_2.arff,Prediction,0.1083989143371582,0.08984375,,
kNN,bucket_2.arff,Accuracy,0,0,,1.0
kNN,bucket_3.arff,Scaling,0.0027849674224853516,0.0390625,,
kNN,bucket_3.arff,Training,0.001035928726196289,0.1796875,,
kNN,bucket_3.arff,Prediction,0.09738302230834961,0.0546875,,
kNN,bucket_3.arff,Accuracy,0,0,,0.27319587628865977
kNN,bucket_4.arff,Scaling,0.0028998851776123047,0.13671875,,
kNN,bucket_4.arff,Training,0.0017018318176269531,0.10546875,,
kNN,bucket_4.arff,Prediction,0.10242104530334473,0.1328125,,
kNN,bucket_4.arff,Accuracy,0,0,,1.0
kNN,bucket_5.arff,Scaling,0.002873659133911133,0.0546875,,
kNN,bucket_5.arff,Training,0.001230001449584961,0.1796875,,
kNN,bucket_5.arff,Prediction,0.16530108451843262,0.0546875,,
kNN,bucket_5.arff,Accuracy,0,0,,1.0
kNN,bucket_6.arff,Scaling,0.002811908721923828,0.046875,,
kNN,bucket_6.arff,Training,0.0010538101196289062,0.18359375,,
kNN,bucket_6.arff,Prediction,0.09927105903625488,0.01953125,,
kNN,bucket_6.arff,Accuracy,0,0,,1.0
kNN,bucket_7.arff,Scaling,0.0028841495513916016,0.0,,
kNN,bucket_7.arff,Training,0.0010600090026855469,0.0,,
kNN,bucket_7.arff,Prediction,0.10010218620300293,0.0390625,,
kNN,bucket_7.arff,Accuracy,0,0,,0.743391360412637
kNN,bucket_8.arff,Scaling,0.002748250961303711,0.0,,
kNN,bucket_8.arff,Training,0.0010998249053955078,0.015625,,
kNN,bucket_8.arff,Prediction,0.09802699089050293,0.03125,,
kNN,bucket_8.arff,Accuracy,0,0,,0.9993552546744036
