Method,Bucket,Operation,Time_Sec,Memory_MB,CPU_Usage_Percent,Accuracy
kNN,bucket_1.arff,Load,0.01745772361755371,0.71484375,,
kNN,bucket_10.arff,Load,0.014696836471557617,0.34765625,,
kNN,bucket_2.arff,Load,0.01628589630126953,0.03125,,
kNN,bucket_3.arff,Load,0.01765608787536621,0.03125,,
kNN,bucket_4.arff,Load,0.02206277847290039,0.0390625,,
kNN,bucket_5.arff,Load,0.022099018096923828,0.03125,,
kNN,bucket_6.arff,Load,0.021661996841430664,0.03125,,
kNN,bucket_7.arff,Load,0.02187204360961914,0.0234375,,
kNN,bucket_8.arff,Load,0.02226877212524414,0.0078125,,
kNN,bucket_9.arff,Load,0.02121901512145996,0.03125,,
kNN,bucket_1.arff,Scaling,0.002054929733276367,0.23828125,,
kNN,bucket_1.arff,Training,0.00214385986328125,0.296875,,
kNN,bucket_1.arff,Prediction,0.018791913986206055,0.1640625,,
kNN,bucket_1.arff,Accuracy,0,0,,0.4935483870967742
kNN,bucket_10.arff,Scaling,0.0019099712371826172,0.24609375,,
kNN,bucket_10.arff,Training,0.0020112991333007812,0.09765625,,
kNN,bucket_10.arff,Prediction,0.02022099494934082,0.02734375,,
kNN,bucket_10.arff,Accuracy,0,0,,0.6245954692556634
kNN,bucket_2.arff,Scaling,0.002138853073120117,0.23828125,,
kNN,bucket_2.arff,Training,0.0009453296661376953,0.16796875,,
kNN,bucket_2.arff,Prediction,0.01882791519165039,0.02734375,,
kNN,bucket_2.arff,Accuracy,0,0,,0.7184466019417476
kNN,bucket_3.arff,Scaling,0.0021338462829589844,0.10546875,,
kNN,bucket_3.arff,Training,0.0015459060668945312,0.01171875,,
kNN,bucket_3.arff,Prediction,0.01924610137939453,0.0,,
kNN,bucket_3.arff,Accuracy,0,0,,0.5339805825242718
kNN,bucket_4.arff,Scaling,0.0020339488983154297,0.02734375,,
kNN,bucket_4.arff,Training,0.0010259151458740234,0.00390625,,
kNN,bucket_4.arff,Prediction,0.01958298683166504,0.00390625,,
kNN,bucket_4.arff,Accuracy,0,0,,0.7508090614886731
kNN,bucket_5.arff,Scaling,0.0019960403442382812,0.02734375,,
kNN,bucket_5.arff,Training,0.0010576248168945312,0.015625,,
kNN,bucket_5.arff,Prediction,0.02206897735595703,0.0,,
kNN,bucket_5.arff,Accuracy,0,0,,0.6407766990291263
kNN,bucket_6.arff,Scaling,0.002074003219604492,0.078125,,
kNN,bucket_6.arff,Training,0.0009710788726806641,0.0,,
kNN,bucket_6.arff,Prediction,0.020167827606201172,0.00390625,,
kNN,bucket_6.arff,Accuracy,0,0,,0.47572815533980584
kNN,bucket_7.arff,Scaling,0.0020170211791992188,0.04296875,,
kNN,bucket_7.arff,Training,0.0014967918395996094,0.0,,
kNN,bucket_7.arff,Prediction,0.02092909812927246,0.01171875,,
kNN,bucket_7.arff,Accuracy,0,0,,0.598705501618123
kNN,bucket_8.arff,Scaling,0.002092123031616211,0.09765625,,
kNN,bucket_8.arff,Training,0.0008821487426757812,0.01171875,,
kNN,bucket_8.arff,Prediction,0.01918792724609375,0.01171875,,
kNN,bucket_8.arff,Accuracy,0,0,,0.6375404530744336
