Method,Bucket,Operation,Time_Sec,Memory_MB,CPU_Usage_Percent,Accuracy
kNN,bucket_1.arff,Load,0.05502009391784668,1.22265625,,
kNN,bucket_10.arff,Load,0.0560152530670166,0.5390625,,
kNN,bucket_2.arff,Load,0.05508995056152344,0.03515625,,
kNN,bucket_3.arff,Load,0.05268597602844238,0.00390625,,
kNN,bucket_4.arff,Load,0.05379986763000488,0.0234375,,
kNN,bucket_5.arff,Load,0.05281209945678711,0.0234375,,
kNN,bucket_6.arff,Load,0.056587934494018555,0.09375,,
kNN,bucket_7.arff,Load,0.05370330810546875,0.02734375,,
kNN,bucket_8.arff,Load,0.05285024642944336,0.0078125,,
kNN,bucket_9.arff,Load,0.05027580261230469,0.01953125,,
kNN,bucket_1.arff,Scaling,0.0014081001281738281,0.32421875,,
kNN,bucket_1.arff,Training,0.001219034194946289,0.5546875,,
kNN,bucket_1.arff,Prediction,0.0824592113494873,0.3984375,,
kNN,bucket_1.arff,Accuracy,0,0,,1.0
kNN,bucket_10.arff,Scaling,0.001995086669921875,0.11328125,,
kNN,bucket_10.arff,Training,0.0008778572082519531,0.51953125,,
kNN,bucket_10.arff,Prediction,0.0749969482421875,0.0546875,,
kNN,bucket_10.arff,Accuracy,0,0,,1.0
kNN,bucket_2.arff,Scaling,0.0017867088317871094,0.00390625,,
kNN,bucket_2.arff,Training,0.0005972385406494141,0.046875,,
kNN,bucket_2.arff,Prediction,0.07113289833068848,0.10546875,,
kNN,bucket_2.arff,Accuracy,0,0,,1.0
kNN,bucket_3.arff,Scaling,0.0015549659729003906,0.05859375,,
kNN,bucket_3.arff,Training,0.0005431175231933594,0.19921875,,
kNN,bucket_3.arff,Prediction,0.0641789436340332,0.02734375,,
kNN,bucket_3.arff,Accuracy,0,0,,0.27319587628865977
kNN,bucket_4.arff,Scaling,0.0018291473388671875,0.00390625,,
kNN,bucket_4.arff,Training,0.0006737709045410156,0.12109375,,
kNN,bucket_4.arff,Prediction,0.07158899307250977,0.0390625,,
kNN,bucket_4.arff,Accuracy,0,0,,1.0
kNN,bucket_5.arff,Scaling,0.0017311573028564453,0.0,,
kNN,bucket_5.arff,Training,0.0006511211395263672,0.12109375,,
kNN,bucket_5.arff,Prediction,0.06387615203857422,0.00390625,,
kNN,bucket_5.arff,Accuracy,0,0,,1.0
kNN,bucket_6.arff,Scaling,0.001708984375,0.03515625,,
kNN,bucket_6.arff,Training,0.0006182193756103516,0.17578125,,
kNN,bucket_6.arff,Prediction,0.07312512397766113,0.04296875,,
kNN,bucket_6.arff,Accuracy,0,0,,1.0
kNN,bucket_7.arff,Scaling,0.0021407604217529297,0.0,,
kNN,bucket_7.arff,Training,0.0007889270782470703,0.0,,
kNN,bucket_7.arff,Prediction,0.07551693916320801,0.00390625,,
kNN,bucket_7.arff,Accuracy,0,0,,0.743391360412637
kNN,bucket_8.arff,Scaling,0.0017499923706054688,0.0390625,,
kNN,bucket_8.arff,Training,0.0006809234619140625,0.0546875,,
kNN,bucket_8.arff,Prediction,0.06548786163330078,0.0,,
kNN,bucket_8.arff,Accuracy,0,0,,0.9987105093488072
