Method,Bucket,Operation,Time_Sec,Memory_MB,CPU_Usage_Percent,Accuracy
kNN,bucket_1.arff,Load,0.01727604866027832,0.734375,,
kNN,bucket_10.arff,Load,0.014495849609375,0.34375,,
kNN,bucket_2.arff,Load,0.015198945999145508,0.0234375,,
kNN,bucket_3.arff,Load,0.016018390655517578,0.0546875,,
kNN,bucket_4.arff,Load,0.016200780868530273,0.01953125,,
kNN,bucket_5.arff,Load,0.0157928466796875,0.01953125,,
kNN,bucket_6.arff,Load,0.01595306396484375,0.03515625,,
kNN,bucket_7.arff,Load,0.018018245697021484,0.0234375,,
kNN,bucket_8.arff,Load,0.021832942962646484,0.04296875,,
kNN,bucket_9.arff,Load,0.020799875259399414,0.04296875,,
kNN,bucket_1.arff,Scaling,0.0014262199401855469,0.21484375,,
kNN,bucket_1.arff,Training,0.0036649703979492188,0.29296875,,
kNN,bucket_1.arff,Prediction,0.01874089241027832,0.1875,,
kNN,bucket_1.arff,Accuracy,0,0,,1.0
kNN,bucket_10.arff,Scaling,0.0018322467803955078,0.25,,
kNN,bucket_10.arff,Training,0.0010831356048583984,0.078125,,
kNN,bucket_10.arff,Prediction,0.018800735473632812,0.02734375,,
kNN,bucket_10.arff,Accuracy,0,0,,1.0
kNN,bucket_2.arff,Scaling,0.002010822296142578,0.1796875,,
kNN,bucket_2.arff,Training,0.000946044921875,0.109375,,
kNN,bucket_2.arff,Prediction,0.02001214027404785,0.0,,
kNN,bucket_2.arff,Accuracy,0,0,,1.0
kNN,bucket_3.arff,Scaling,0.0023429393768310547,0.0703125,,
kNN,bucket_3.arff,Training,0.0009777545928955078,0.03515625,,
kNN,bucket_3.arff,Prediction,0.020097017288208008,0.02734375,,
kNN,bucket_3.arff,Accuracy,0,0,,0.0
kNN,bucket_4.arff,Scaling,0.0020439624786376953,0.09375,,
kNN,bucket_4.arff,Training,0.0008900165557861328,0.015625,,
kNN,bucket_4.arff,Prediction,0.017947912216186523,0.0390625,,
kNN,bucket_4.arff,Accuracy,0,0,,0.9967741935483871
kNN,bucket_5.arff,Scaling,0.0023040771484375,0.05859375,,
kNN,bucket_5.arff,Training,0.0010519027709960938,0.02734375,,
kNN,bucket_5.arff,Prediction,0.020419836044311523,0.0,,
kNN,bucket_5.arff,Accuracy,0,0,,1.0
kNN,bucket_6.arff,Scaling,0.002093076705932617,0.0,,
kNN,bucket_6.arff,Training,0.0008790493011474609,0.0,,
kNN,bucket_6.arff,Prediction,0.018960952758789062,0.0,,
kNN,bucket_6.arff,Accuracy,0,0,,1.0
kNN,bucket_7.arff,Scaling,0.0019838809967041016,0.0,,
kNN,bucket_7.arff,Training,0.0015130043029785156,0.0,,
kNN,bucket_7.arff,Prediction,0.02009892463684082,0.00390625,,
kNN,bucket_7.arff,Accuracy,0,0,,0.0
kNN,bucket_8.arff,Scaling,0.0022559165954589844,0.08984375,,
kNN,bucket_8.arff,Training,0.0008978843688964844,0.01171875,,
kNN,bucket_8.arff,Prediction,0.01899886131286621,0.02734375,,
kNN,bucket_8.arff,Accuracy,0,0,,0.9903225806451613
