@RELATION bucket_2

@ATTRIBUTE duration numeric
@ATTRIBUTE total_fiat numeric
@ATTRIBUTE total_biat numeric
@ATTRIBUTE min_fiat numeric
@ATTRIBUTE min_biat numeric
@ATTRIBUTE max_fiat numeric
@ATTRIBUTE max_biat numeric
@ATTRIBUTE mean_fiat numeric
@ATTRIBUTE mean_biat numeric
@ATTRIBUTE flowPktsPerSecond numeric
@ATTRIBUTE flowBytesPerSecond numeric
@ATTRIBUTE min_flowiat numeric
@ATTRIBUTE max_flowiat numeric
@ATTRIBUTE mean_flowiat numeric
@ATTRIBUTE std_flowiat numeric
@ATTRIBUTE min_active numeric
@ATTRIBUTE mean_active numeric
@ATTRIBUTE max_active numeric
@ATTRIBUTE std_active numeric
@ATTRIBUTE min_idle numeric
@ATTRIBUTE mean_idle numeric
@ATTRIBUTE max_idle numeric
@ATTRIBUTE std_idle numeric
@ATTRIBUTE class1 {Non-VPN,VPN}

@DATA
14999567.0,459.0,2.0,38566.0,38644.0,19132.0536398467,19156.5351213282,4586.1992609133,3676.2466465641,104.5363509493,12266.487425937,2.0,32589.0,9572.1550733887,5497.0282592936,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'Non-VPN'
351.0,351.0,-1.0,351.0,-1.0,351.0,0.0,0.0,0.0,5698.0056980057,227920.227920228,351.0,351.0,351.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'Non-VPN'
14982463.0,80.0,3.0,38736.0,24707.0,19163.8655569782,19132.5670498084,4662.8654145503,3402.4651634181,104.5222003885,12101.0811106291,3.0,21779.0,9573.4587859425,5296.6563217068,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'Non-VPN'
14422750.0,960094.0,960132.0,963141.0,964308.0,961469.6,961461.266666667,898.9003838023,1219.2387535242,2.2187169576,248.4962992495,505.0,962588.0,465250.0,487496.864075965,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'Non-VPN'
968874.0,1218.0,125.0,368851.0,281345.0,83786.8181818182,61434.7333333333,99559.9347873613,70570.5985530667,28.899526667,4391.6959274374,85.0,281345.0,35884.2222222222,57887.1725838843,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'Non-VPN'
14978236.0,29.0,13.0,180852.0,42382.0,44676.9731343284,17415.6100116414,25884.239669859,6256.7870307343,79.8491891836,13006.4715230819,13.0,42382.0,12534.0887029289,7438.1906140575,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'Non-VPN'
14999220.0,184.0,2.0,37049.0,32905.0,19107.2866242038,19085.5834394904,5024.91866818,3597.3432827023,104.8054498834,12249.5703109895,2.0,26381.0,9547.5620623807,5632.5891232767,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'Non-VPN'
14430013.0,960806.0,960806.0,964865.0,965019.0,961938.866666667,961949.4,1246.9339750345,1350.9002448103,2.2176002198,248.3712246136,489.0,964330.0,465484.290322581,488008.476231762,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'Non-VPN'
14986785.0,5563.0,15614.0,24556.0,24621.0,20003.1401869159,19999.8544726302,3143.2068813615,2711.5991370155,100.0881776845,11109.7877229839,35.0,22624.0,9997.8552368246,4881.1356014836,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'Non-VPN'
14423227.0,960798.0,960061.0,962029.0,962738.0,961496.4,961463.6,408.7822158558,733.6795037928,2.2186435809,248.4880810654,545.0,961406.0,465265.387096774,487433.863187351,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'Non-VPN'
14427446.0,960238.0,959582.0,967239.0,967398.0,961786.8,961776.2,1643.4990416791,1763.9307445103,2.2179947858,248.4154160064,579.0,966551.0,465401.483870968,487693.989971879,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'Non-VPN'
14989335.0,116.0,4.0,38336.0,35350.0,19068.9681933842,19132.9719029374,4715.8948788688,3664.9148366748,104.8078517159,12173.8556113397,4.0,26197.0,9547.347133758,5142.5903479487,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'Non-VPN'
14988301.0,5607.0,15723.0,25457.0,25258.0,20002.9799732977,19999.8170894526,3252.5385260185,2733.7470428528,100.0780542104,11108.6640173559,28.0,20636.0,9998.8665777185,4035.8145213424,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'Non-VPN'
7.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,285714.285714286,14900000.0,7.0,7.0,7.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'Non-VPN'
14424860.0,959976.0,959877.0,965969.0,966863.0,961607.466666667,961598.266666667,1565.1711164628,1812.1727277602,2.2183924142,248.4599503912,491.0,965331.0,465318.064516129,487723.820018491,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'Non-VPN'
14424520.0,960254.0,960022.0,964645.0,964655.0,961590.866666667,961596.466666667,1071.4117100261,1201.3020535276,2.2184447039,248.4658068345,431.0,963911.0,465307.096774194,487689.141769895,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'Non-VPN'
14995006.0,5768.0,15632.0,25323.0,24805.0,19991.9146666667,20008.4245660881,3188.0806007074,2733.7805012219,100.0999932911,11111.0992553121,36.0,23641.0,9996.6706666667,5695.2214296691,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'Non-VPN'
14993104.0,48.0,14.0,568920.0,606409.0,66540.1955555556,32758.647702407,76363.30579312,70797.1308208724,45.6209734822,148281.36988845,4.0,568855.0,21951.8360175695,51188.3763396944,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'Non-VPN'
14999542.0,57.0,17.0,21451.0,140302.0,18049.9903730445,43666.6549707602,4623.359298293,28292.5490505533,78.3357251841,11626.6883348838,17.0,21409.0,12776.4412265758,7307.7311788596,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'Non-VPN'
14995267.0,16.0,12.0,109179.0,118237.0,8280.038100497,5145.7086911714,16506.4279197977,14721.9842853327,315.0327366628,340106.648317766,0.0,109092.0,3174.9453737032,10762.7303541123,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'Non-VPN'
14995554.0,18.0,22.0,39866.0,179976.0,17426.5790697674,47437.2317460317,5713.3946365655,26875.4271896774,78.4899310822,12135.9304231107,18.0,39777.0,12751.3214285714,6928.925520798,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,'Non-VPN'
