Method,Bucket,Operation,Time_Sec,Memory_MB,CPU_Usage_Percent,Accuracy
N/A,bucket_1.arff,Load,0.014083147048950195,0.30859375,0.0,
N/A,bucket_10.arff,Load,0.030992746353149414,0.36328125,0.0,
N/A,bucket_2.arff,Load,0.030896902084350586,0.3984375,0.0,
N/A,bucket_3.arff,Load,0.03535795211791992,0.21875,0.0,
N/A,bucket_4.arff,Load,0.023495912551879883,0.00390625,0.0,
N/A,bucket_5.arff,Load,0.026182889938354492,0.28515625,0.0,
N/A,bucket_6.arff,Load,0.0744168758392334,1.0859375,0.0,
N/A,bucket_7.arff,Load,0.03737187385559082,0.09375,0.0,
N/A,bucket_8.arff,Load,0.06986284255981445,0.0234375,0.0,
N/A,bucket_9.arff,Load,0.020566940307617188,0.0,0.0,
N/A,bucket_1.arff,Scaling,0.0042018890380859375,0.1953125,0.0,
N/A,bucket_1.arff,Training,0.003345966339111328,0.2421875,69.5,
N/A,bucket_1.arff,Prediction,0.02725815773010254,0.42578125,98.1,
N/A,bucket_1.arff,Accuracy,0,0,94.8,0.670076726342711
N/A,bucket_10.arff,Scaling,0.0015292167663574219,0.11328125,0.0,
N/A,bucket_10.arff,Training,0.0013527870178222656,0.2578125,98.8,
N/A,bucket_10.arff,Prediction,0.030013084411621094,0.203125,98.9,
N/A,bucket_10.arff,Accuracy,0,0,94.6,0.6865671641791045
N/A,bucket_2.arff,Scaling,0.002574920654296875,0.22265625,0.0,
N/A,bucket_2.arff,Training,0.0012557506561279297,0.203125,100.0,
N/A,bucket_2.arff,Prediction,0.030717849731445312,0.0078125,99.2,
N/A,bucket_2.arff,Accuracy,0,0,88.1,0.7182448036951501
N/A,bucket_3.arff,Scaling,0.0024268627166748047,0.03125,0.0,
N/A,bucket_3.arff,Training,0.0010671615600585938,0.03125,100.0,
N/A,bucket_3.arff,Prediction,0.022185087203979492,0.0078125,99.0,
N/A,bucket_3.arff,Accuracy,0,0,94.8,0.7261146496815286
N/A,bucket_4.arff,Scaling,0.002398967742919922,0.03125,0.0,
N/A,bucket_4.arff,Training,0.0011363029479980469,0.046875,100.0,
N/A,bucket_4.arff,Prediction,0.022773027420043945,0.0,99.6,
N/A,bucket_4.arff,Accuracy,0,0,94.5,0.6842105263157895
N/A,bucket_5.arff,Scaling,0.0024976730346679688,0.0078125,0.0,
N/A,bucket_5.arff,Training,0.0011489391326904297,0.0078125,99.3,
N/A,bucket_5.arff,Prediction,0.06740403175354004,0.10546875,99.1,
N/A,bucket_5.arff,Accuracy,0,0,103.0,0.7007150153217568
N/A,bucket_6.arff,Scaling,0.0026481151580810547,0.13671875,0.0,
N/A,bucket_6.arff,Training,0.0011091232299804688,0.203125,100.0,
N/A,bucket_6.arff,Prediction,0.033149003982543945,0.0078125,99.8,
N/A,bucket_6.arff,Accuracy,0,0,96.1,0.688
N/A,bucket_7.arff,Scaling,0.002466917037963867,0.0,0.0,
N/A,bucket_7.arff,Training,0.0017409324645996094,0.0703125,95.2,
N/A,bucket_7.arff,Prediction,0.06859517097473145,0.01953125,98.8,
N/A,bucket_7.arff,Accuracy,0,0,95.4,0.7025586353944563
N/A,bucket_8.arff,Scaling,0.0027751922607421875,0.0625,0.0,
N/A,bucket_8.arff,Training,0.0012562274932861328,0.15234375,99.0,
N/A,bucket_8.arff,Prediction,0.018778085708618164,0.0,98.7,
N/A,bucket_8.arff,Accuracy,0,0,97.1,0.7279693486590039
