Method,Bucket,Operation,Time_Sec,Memory_MB,CPU_Usage_Percent,Accuracy
N/A,bucket_1.arff,Load,0.03864598274230957,0.7109375,0.0,
N/A,bucket_10.arff,Load,0.0786740779876709,1.43359375,0.0,
N/A,bucket_2.arff,Load,0.10196304321289062,1.66796875,0.0,
N/A,bucket_3.arff,Load,0.14434194564819336,2.01171875,0.0,
N/A,bucket_4.arff,Load,0.026050090789794922,0.24609375,0.0,
N/A,bucket_5.arff,Load,0.019655942916870117,0.22265625,0.0,
N/A,bucket_6.arff,Load,0.12447690963745117,0.046875,0.0,
N/A,bucket_7.arff,Load,0.1626429557800293,1.78125,0.0,
N/A,bucket_8.arff,Load,0.02805614471435547,0.25390625,0.0,
N/A,bucket_9.arff,Load,0.004842996597290039,0.0,0.0,
N/A,bucket_1.arff,Scaling,0.003551959991455078,0.19921875,0.0,
N/A,bucket_1.arff,Training,0.0032300949096679688,0.4375,77.5,
N/A,bucket_1.arff,Prediction,0.07333183288574219,0.3046875,97.8,
N/A,bucket_1.arff,Accuracy,0,0,94.9,0.6863727454909819
N/A,bucket_10.arff,Scaling,0.0025129318237304688,0.140625,0.0,
N/A,bucket_10.arff,Training,0.0014801025390625,0.359375,97.4,
N/A,bucket_10.arff,Prediction,0.08933901786804199,0.16796875,98.6,
N/A,bucket_10.arff,Accuracy,0,0,96.0,0.5330798479087453
N/A,bucket_2.arff,Scaling,0.002758026123046875,0.171875,0.0,
N/A,bucket_2.arff,Training,0.0010859966278076172,0.18359375,99.4,
N/A,bucket_2.arff,Prediction,0.1660747528076172,0.12109375,80.3,
N/A,bucket_2.arff,Accuracy,0,0,89.9,0.47698971304818627
N/A,bucket_3.arff,Scaling,0.004636049270629883,0.25390625,0.0,
N/A,bucket_3.arff,Training,0.001561880111694336,-0.5,95.1,
N/A,bucket_3.arff,Prediction,0.026764869689941406,-1.33203125,95.8,
N/A,bucket_3.arff,Accuracy,0,0,103.4,0.47928994082840237
N/A,bucket_4.arff,Scaling,0.0026869773864746094,0.02734375,0.0,
N/A,bucket_4.arff,Training,0.001104116439819336,0.0390625,100.0,
N/A,bucket_4.arff,Prediction,0.019337177276611328,0.0234375,96.5,
N/A,bucket_4.arff,Accuracy,0,0,97.7,0.7192982456140351
N/A,bucket_5.arff,Scaling,0.003854036331176758,0.03125,0.0,
N/A,bucket_5.arff,Training,0.0013539791107177734,-0.68359375,95.8,
N/A,bucket_5.arff,Prediction,0.11727380752563477,0.0546875,97.9,
N/A,bucket_5.arff,Accuracy,0,0,94.5,0.6740829825616356
N/A,bucket_6.arff,Scaling,0.0028867721557617188,0.03515625,0.0,
N/A,bucket_6.arff,Training,0.0012049674987792969,0.09765625,98.1,
N/A,bucket_6.arff,Prediction,0.14836406707763672,0.1875,98.9,
N/A,bucket_6.arff,Accuracy,0,0,95.7,0.5194197473093122
N/A,bucket_7.arff,Scaling,0.0032999515533447266,0.2734375,0.0,
N/A,bucket_7.arff,Training,0.001127004623413086,0.30078125,98.3,
N/A,bucket_7.arff,Prediction,0.0238950252532959,-1.53515625,98.7,
N/A,bucket_7.arff,Accuracy,0,0,97.0,0.5350877192982456
N/A,bucket_8.arff,Scaling,0.0021572113037109375,0.0,0.0,
N/A,bucket_8.arff,Training,0.001238107681274414,0.0,96.1,
N/A,bucket_8.arff,Prediction,0.004472970962524414,0.00390625,98.4,
N/A,bucket_8.arff,Accuracy,0,0,95.4,0.7346938775510204
