Method,Bucket,Operation,Time_Sec,Memory_MB,CPU_Usage_Percent,Accuracy
N/A,bucket_1.arff,Load,0.02982807159423828,0.76171875,0.0,
N/A,bucket_10.arff,Load,0.11951208114624023,2.6328125,0.0,
N/A,bucket_2.arff,Load,0.017578125,0.0078125,0.0,
N/A,bucket_3.arff,Load,0.05322074890136719,0.10546875,0.0,
N/A,bucket_4.arff,Load,0.008409261703491211,0.01953125,0.0,
N/A,bucket_5.arff,Load,0.098236083984375,0.265625,0.0,
N/A,bucket_6.arff,Load,0.01856374740600586,0.00390625,0.0,
N/A,bucket_7.arff,Load,0.13853096961975098,1.44140625,0.0,
N/A,bucket_8.arff,Load,0.007714033126831055,0.015625,0.0,
N/A,bucket_9.arff,Load,0.025823116302490234,0.06640625,0.0,
N/A,bucket_1.arff,Scaling,0.0013267993927001953,0.2265625,0.0,
N/A,bucket_1.arff,Training,0.003345012664794922,0.31640625,66.8,
N/A,bucket_1.arff,Prediction,0.10193014144897461,0.44140625,98.2,
N/A,bucket_1.arff,Accuracy,0,0,96.6,0.6619519094766619
N/A,bucket_10.arff,Scaling,0.002705812454223633,0.21875,0.0,
N/A,bucket_10.arff,Training,0.0012969970703125,0.46484375,98.8,
N/A,bucket_10.arff,Prediction,0.018337011337280273,0.02734375,95.8,
N/A,bucket_10.arff,Accuracy,0,0,97.6,0.9455445544554455
N/A,bucket_2.arff,Scaling,0.0038840770721435547,0.1015625,0.0,
N/A,bucket_2.arff,Training,0.0017552375793457031,0.0234375,94.6,
N/A,bucket_2.arff,Prediction,0.013334989547729492,0.05078125,96.6,
N/A,bucket_2.arff,Accuracy,0,0,95.8,0.9568345323741008
N/A,bucket_3.arff,Scaling,0.002992868423461914,0.125,0.0,
N/A,bucket_3.arff,Training,0.0014748573303222656,0.0078125,91.3,
N/A,bucket_3.arff,Prediction,0.011495828628540039,0.0078125,90.2,
N/A,bucket_3.arff,Accuracy,0,0,72.7,1.0
N/A,bucket_4.arff,Scaling,0.0029790401458740234,0.0625,0.0,
N/A,bucket_4.arff,Training,0.0014188289642333984,0.03515625,95.5,
N/A,bucket_4.arff,Prediction,0.12744712829589844,0.15625,69.9,
N/A,bucket_4.arff,Accuracy,0,0,95.5,0.6171735241502684
N/A,bucket_5.arff,Scaling,0.0028429031372070312,0.1328125,0.0,
N/A,bucket_5.arff,Training,0.0011391639709472656,0.09375,99.0,
N/A,bucket_5.arff,Prediction,0.01836395263671875,0.00390625,96.6,
N/A,bucket_5.arff,Accuracy,0,0,92.7,0.9473684210526315
N/A,bucket_6.arff,Scaling,0.0026481151580810547,0.0078125,0.0,
N/A,bucket_6.arff,Training,0.0014071464538574219,0.0546875,99.3,
N/A,bucket_6.arff,Prediction,0.10586094856262207,0.09765625,97.6,
N/A,bucket_6.arff,Accuracy,0,0,94.5,0.6055668703326544
N/A,bucket_7.arff,Scaling,0.002905130386352539,0.16796875,0.0,
N/A,bucket_7.arff,Training,0.0011930465698242188,0.0546875,95.0,
N/A,bucket_7.arff,Prediction,0.00698399543762207,-0.56640625,98.6,
N/A,bucket_7.arff,Accuracy,0,0,95.2,0.9506172839506173
N/A,bucket_8.arff,Scaling,0.0020678043365478516,0.0,0.0,
N/A,bucket_8.arff,Training,0.0015740394592285156,0.0,97.5,
N/A,bucket_8.arff,Prediction,0.02529311180114746,0.0,97.5,
N/A,bucket_8.arff,Accuracy,0,0,96.4,0.6289308176100629
