Sampling_Multiplier,Bucket,Operation,Time_Sec,Memory_MB,CPU_Usage_Percent,Accuracy
0.9,bucket_1.arff,Load,0.01896381378173828,0.09765625,0.0,
0.9,bucket_10.arff,Load,0.04893779754638672,0.42578125,0.0,
0.9,bucket_2.arff,Load,0.12868809700012207,1.421875,0.0,
0.9,bucket_3.arff,Load,0.05013561248779297,0.39453125,0.0,
0.9,bucket_4.arff,Load,0.03639411926269531,0.0,0.0,
0.9,bucket_5.arff,Load,0.007644176483154297,0.0,0.0,
0.9,bucket_6.arff,Load,0.007643938064575195,0.0,0.0,
0.9,bucket_7.arff,Load,0.004855155944824219,0.0,0.0,
0.9,bucket_8.arff,Load,0.09456396102905273,0.0625,0.0,
0.9,bucket_9.arff,Load,0.036975860595703125,0.0,0.0,
0.9,bucket_1.arff,Scaling,0.0009951591491699219,0.0,0.0,
0.9,bucket_1.arff,Training,0.0007631778717041016,0.0,100.0,
0.9,bucket_1.arff,Prediction,0.04255175590515137,0.00390625,98.0,
0.9,bucket_1.arff,Accuracy,0,0,94.6,0.6144578313253012
0.9,bucket_10.arff,Scaling,0.0018041133880615234,0.0625,0.0,
0.9,bucket_10.arff,Training,0.0013637542724609375,0.0625,100.0,
0.9,bucket_10.arff,Prediction,0.09732198715209961,0.13671875,98.7,
0.9,bucket_10.arff,Accuracy,0,0,97.0,0.6551724137931034
0.9,bucket_2.arff,Scaling,0.003031015396118164,0.0,0.0,
0.9,bucket_2.arff,Training,0.001743316650390625,0.0,96.6,
0.9,bucket_2.arff,Prediction,0.04586601257324219,0.0,99.0,
0.9,bucket_2.arff,Accuracy,0,0,88.0,0.5289389067524116
0.9,bucket_3.arff,Scaling,0.004203081130981445,0.0,0.0,
0.9,bucket_3.arff,Training,0.0014562606811523438,0.0,96.7,
0.9,bucket_3.arff,Prediction,0.03614616394042969,0.0,97.7,
0.9,bucket_3.arff,Accuracy,0,0,80.8,0.691415313225058
0.9,bucket_4.arff,Scaling,0.0023050308227539062,0.0,0.0,
0.9,bucket_4.arff,Training,0.0010149478912353516,0.0,100.0,
0.9,bucket_4.arff,Prediction,0.00787210464477539,0.0,97.6,
0.9,bucket_4.arff,Accuracy,0,0,96.8,0.6582278481012658
0.9,bucket_5.arff,Scaling,0.0021440982818603516,0.0,0.0,
0.9,bucket_5.arff,Training,0.0012891292572021484,0.0,99.8,
0.9,bucket_5.arff,Prediction,0.008448123931884766,0.0,98.3,
0.9,bucket_5.arff,Accuracy,0,0,94.2,0.5625
0.9,bucket_6.arff,Scaling,0.0021638870239257812,0.0,0.0,
0.9,bucket_6.arff,Training,0.0013358592987060547,0.0,100.0,
0.9,bucket_6.arff,Prediction,0.004209041595458984,0.0,100.0,
0.9,bucket_6.arff,Accuracy,0,0,94.8,0.5714285714285714
0.9,bucket_7.arff,Scaling,0.0019712448120117188,0.0,0.0,
0.9,bucket_7.arff,Training,0.00131988525390625,0.0,96.2,
0.9,bucket_7.arff,Prediction,0.07465004920959473,0.0,97.9,
0.9,bucket_7.arff,Accuracy,0,0,95.0,0.5063157894736842
0.9,bucket_8.arff,Scaling,0.002532958984375,0.0,0.0,
0.9,bucket_8.arff,Training,0.0015988349914550781,0.11328125,95.4,
0.9,bucket_8.arff,Prediction,0.03203892707824707,0.0,99.2,
0.9,bucket_8.arff,Accuracy,0,0,96.6,0.5046082949308756
